YEAR,RATE OF INTEREST (%)
23-09-2014 to 31-03-2016,8.7(100 Months)
1.4.2016 to 30.9.2016,7.8 (110 Months)
1.10.2016 to 31.3.2017,7.7 (112 Months)
1.4.2017 to 30.6.2017,7.6 (113 Months)
1.7.2017 to 31.12.2017,7.5 (115 Months)
1.1.2018 to 30.9.2018,7.3 (118 Months)
1.10.2018 to 30.6.2019,7.7 (112 Months)
1.07.2019 to 31.03.2020,7.6 (113 Months)
1.4.2020 to 30.09.2022,6.9(124 Months)
1.10.2022 to 31.12.2022,7.0(123 Months)
1.01.2023 to 31.03.2023,7.2(120 Months)
1.04.2023 to 31.03.2026,7.5(115 Months)
,
POLICIES,
Category,Provision / Rule
Scheme Name,"Kisan Vikas Patra Scheme, 2019"
Legal Authority,"Section 3A, Government Savings Promotion Act, 1873"
Notifications,G.S.R. 920(E) dated 12-12-2019; amended by G.S.R. 283(E) dated 05-05-2020
Commencement,Date of publication in the Official Gazette
Applicable Rules,"Government Savings Promotion General Rules, 2018"
Definition of Year,Twelve months commencing from the date of deposit
Types of Accounts,Single Holder Type; Joint A-Type; Joint B-Type
Single Holder Account,Adult for self; guardian for minor/person of unsound mind; minor aged 10 years or above
Joint A-Type Account,Up to three adults; payable to all jointly or to survivors
Joint B-Type Account,Up to three adults; payable to any one or survivors
Minimum Deposit Amount,"₹1,000"
Deposit Denomination,Multiples of ₹100
Maximum Deposit Limit,No maximum limit
Number of Accounts Allowed,Any number of accounts per individual
Maturity Period (12-12-2019 to 31-03-2020),9 years and 5 months
Maturity Period (on or after 01-04-2020),10 years and 4 months
Maturity Value,Deposit doubles on maturity
Determination of Maturity,Based on interest rate applicable at time of opening
Repayment on Maturity,On application in Form-2
Premature Closure – Permitted Cases,Death of account holder(s); forfeiture by pledgee (Gazetted Officer); court order
Premature Closure (Before 2½ Years),Principal + simple interest at Post Office Savings Account rate
Premature Closure (After 2½ Years),Payable as per statutory premature-closure tables
Premature Closure Value (Accounts opened 12-12-2019 to 31-03-2020),"As per Table-1 (₹1,000 denomination; values from ₹1,173 to ₹2,000)"
Premature Closure Value (Accounts opened on/after 01-04-2020),"As per Table-2 (₹1,000 denomination; values from ₹1,154 to ₹2,000)"
Interest on Premature Closure,Included in table values; otherwise at POSA rate where applicable
Pledging / Transfer as Security,Permitted
Eligible Pledgees,President of India; Governor of a State; RBI; Scheduled/Co-operative Banks; Corporations; Government Companies; Local Authorities; NHB-approved Housing Finance Companies
Special Condition (Minor/Unsound Mind),Guardian must certify benefit and survival
Endorsement on Pledge,“Transferred as security to ……”
Status of Transferee,Deemed depositor until re-transfer
Re-transfer of Account,Allowed with written authority and official sanction
Disabled Depositor Provision,May pledge through authorised literate individual
Transfer of Account – Permitted Cases,Death; court order; pledging; death of joint holder
Payment on Death (Single/Joint),Payable to nominee or legal heirs
Continuation by Nominees/Heirs,Up to three may continue account till maturity
Closure on Death (If Not Continued),Deposit + interest payable as per premature-closure rules
Surviving Joint Holder(s),Treated as owner(s)
Forms Used,"Form-1 (opening), Form-2 (maturity), Form-3 (premature closure), Form-4 (pledge)"
Application of General Rules,Applicable where Scheme is silent
Power to Relax,Central Government may relax provisions to avoid hardship
