YEAR,RATE OF INTEREST (%)
1968-69 TO 1969-70,4.8
1970-71 TO 1972-73,5
1973-74,5.3
01.04.1974 TO 31.07.1974,5.8
01.08.1974 TO 31.03.1975,7
1975-76 TO 1976-77,7
1977-78 TO 1979-80,7.5
1980-81,8
1981-82 TO 1982-83,8.5
1983-84,9
1984-85,9.5
1985-86,10
1986-87 TO 1998-99,12
01.04.1999 TO 14.01.2000,12
15.01.2000 TO 28.02.2001,11
01.03.2001 TO 28.02.2002,9.5
01.03.2002 TO 28.02.2003,9
01.03.2003 TO 30.11.2011,8
01.12.2011 TO 31.03.2012,8.6
01.04.2012 TO 31.03.2013,8.8
01.04.2013 TO 31.03.2016,8.7
01.04.2016 TO 30.09.2016,8.1
01.10.2016 TO 31.03.2017,8
01.04.2017 TO 30.06.2017,7.9
01.07.2017 TO 31.12.2017,7.8
01.01.2018 TO 30.09.2018,7.6
01.10.2018 TO 31.06.2019,8
01.07.2019 TO 31.03.2020,7.9
01.04.2020 TO 31.03.2026,7.1
,
POLICIES,
Category,Provision / Rule
Scheme Name,"Public Provident Fund Scheme, 2019"
Legal Authority,"Section 3A, Government Savings Promotion Act, 1873"
Notification,G.S.R. 915(E)
Commencement,Date of publication in the Official Gazette
Applicable Rules,"Government Savings Promotion General Rules, 2018"
Definition of Year,Financial year
Eligible Account Holders,Individual in own name; guardian on behalf of a minor or a person of unsound mind
Number of Accounts Allowed,One account per individual; one per minor/person of unsound mind
Joint Accounts,Not permitted
Minimum Annual Subscription,₹500
Maximum Annual Subscription,"₹1,50,000"
Deposit Denomination,Multiples of ₹50
Aggregate Deposit Limit,"₹1,50,000 inclusive of own account and minor’s account"
Initial Deposit,Minimum ₹500
Mode of Deposit,Lump sum or instalments within annual limit
Discontinuation of Account,Account treated as discontinued if minimum deposit not made in any year
Revival of Discontinued Account,Allowed during maturity period on payment of ₹50 fee per default year + arrears of ₹500 per year
Interest on Discontinued Account,Continues to earn interest even if not revived
Restrictions on Discontinued Account,No loan or partial withdrawal; no new account until closure
Eligibility for Loan / Withdrawal,Available only to regular accounts
Interest Rate (12-12-2019 to 31-03-2020),7.9% per annum
Interest Rate (on or after 01-04-2020),7.1% per annum
Interest Calculation Basis,Lowest balance between close of 5th day and end of month
Interest Credit Frequency,Annually at end of financial year
Effect of Account Transfer,Interest credited irrespective of change in account office
Loan Eligibility Period,From end of 1st year to end of 5th year from initial subscription
Maximum Loan Amount,Up to 25% of balance at end of 2nd preceding year
Loan Application Form,Form-2
Loan for Minor / Unsound Mind,Guardian certification required
Loan Limit per Year,One loan per year
Loan Repayment Period,Within 36 months from first day of month following sanction
Loan Repayment Mode,Lump sum or instalments
Loan Interest (Timely Repayment),1% per annum
Loan Interest (Delayed Repayment),6% per annum
Recovery of Loan Interest,May be debited to account
Liability on Death,Nominee/legal heir liable for unpaid loan interest
Partial Withdrawal Eligibility,After 5 years from end of year of opening
Maximum Withdrawal Amount,Up to 50% of lower of: balance at end of 4th preceding year or preceding year
Withdrawal Frequency,Once per year
Outstanding Loan Condition,Loan + interest must be repaid before withdrawal
Withdrawal for Minor / Unsound Mind,Guardian certification required
Normal Maturity Period,15 years from end of year of opening
Closure on Maturity,Full balance + interest payable on Form-3
Interest on Closure,Up to end of month preceding closure
Continuation Without Deposits,Allowed after maturity for any period
Withdrawals During Continuation (No Deposits),One withdrawal per year allowed
Restriction After 1 Year (No Deposits),Cannot later opt for continuation with deposits
Extension With Deposits,Allowed in blocks of 5 years
Extension Application,Form-4 within 1 year from maturity
Late Extension,No deposits allowed; irregular deposits refunded without interest
Withdrawal Limit During Extension,Up to 60% of balance at start of block period
Extension Repeatability,Applicable for each subsequent 5-year block
Option Irrevocability,Extension option cannot be withdrawn once exercised
Premature Closure Allowed,"Yes, on specified grounds"
Permitted Grounds,Life-threatening illness; higher education; change in residency
Minimum Period for Premature Closure,5 years from end of year of opening
Interest on Premature Closure,1% lower than credited rate
Closure on Death,Account closed; nominee/legal heir cannot continue
Interest After Death,Payable till end of month preceding payment
Protection from Attachment,Balance not liable to court attachment
Forms Used,"Form-1 (opening), Form-2 (loan/withdrawal), Form-3 (closure), Form-4 (extension), Form-5 (premature closure)"
Application of General Rules,Applicable where Scheme is silent
Power to Relax,Central Government may relax provisions to avoid hardship
