YEAR,RATE OF INTEREST (%)
01-04-1981 to 31-12-1998,5.5
01-01-1999 to 28-02-2001,4.5
01-03-2001 to 30-11-2011​​,3.5
01-12-2011 to 31-03-2026,4
,
Policies,
1) Scheme Overview,
Field,Details
Scheme Name,"Post Office Savings Account Scheme, 2019"
Legal Authority,"Section 3A, Government Savings Promotion Act, 1873"
Notification,GSR 921(E)
Commencement,Date of publication in Official Gazette
Applicable Rules,"Government Savings Promotion General Rules, 2018"
Financial Year Definition,1 April to 31 March
2) Eligible Account Types & Who Can Open,
Account Type,Who Can Open
Single Account,Single adult
Joint Account,Two adults jointly
Minor Account,Guardian on behalf of a minor
Unsound Mind,Guardian on behalf of a person of unsound mind
Minor (10+ years),Minor aged 10 years or above in own name
Restriction,Only one single account per individual
Minor Restriction,Either guardian account or self-account — not both
3) Joint Account Rules,
Rule,Description
Shareholding,Equal share among joint holders
Death of one holder,Surviving holder becomes sole owner
Existing single account,Joint account must be closed if survivor already has a single account
4) Basic Savings Account (Government Welfare Beneficiaries),
Attribute,Details
Who Can Open,Registered adult beneficiary or guardian of registered minor
Minimum Deposit,Nil
Maximum Deposit,No limit
Number of Accounts,One
Deposit Type,Government benefit or other scheme deposits
Minimum Balance,Nil
Operator,Beneficiary or guardian
Status,Existing accounts under 1981 Rules continue
Legal Update,"Inserted via GSR 257(E), 9 April 2021"
5) Deposits & Withdrawals Rules,
Parameter,Rule
Minimum opening deposit,₹500
Minimum subsequent deposit,₹10
Maximum deposit,No limit
Minimum withdrawal,₹50
Withdrawal modes,Passbook + Form-2 / Cheque / Electronic
Minimum balance,₹500 must be maintained
Whole rupee rule,Deposits & withdrawals only in whole rupees
6) Low Balance & Maintenance Fee Rules,
Condition,Action
Balance < ₹500 at scheme start,Deposit shortfall within 1 year
Failure to restore balance,₹50 annual maintenance fee (incl. GST)
Zero balance after fee,Account automatically closed
Applies to,All accounts including Silent Accounts
Amendment,"GSR 257(E), 9 April 2021"
7) Interest Rules,
Aspect,Details
Interest Rate,4% per annum
Calculation Basis,Lowest balance between 10th & month end
Interest Credit,Annually
Eligible Amount,Whole rupees only
Rounding Rule,≥50 paise → ₹1; <50 paise ignored
No Interest If,Balance < ₹500 between 10th–month end
Closure Year Interest,Paid till month preceding closure
Death Case,Interest till month before closure
8) Passbook & Cheque Book,
Facility,Rule
Passbook,Issued by accounts office
Balance confirmation,During office hours
Free cheque book,10 leaves per year
Extra cheque cost,₹2 per cheque
9) Silent Account Rules,
Rule,Description
Silent status,No deposit/withdrawal for 3 complete years
Interest credit,Not treated as a transaction
Transactions allowed,Only after revival
Revival,Application + due process
10) Account Closure,
Condition,Rule
Voluntary closure,Allowed anytime
Documents required,"Passbook, unused cheque book, Form-2"
Interest on closure,As per interest rules
11) Administrative Provisions,
Provision,Description
General Rules,Apply where scheme is silent
Power to Relax,Central Government may relax provisions
Condition,Reasons must be recorded in writing
Limitation,Must not conflict with the Act
