End of Period / SORA Value Date,Unnamed: 1,Unnamed: 2,Interbank Overnight,Interbank 1-Week,Interbank 1-Month,Interbank 2-Month,Interbank 3-Month,Interbank 6-Month,Interbank 12-Month,3-Month Commercial Bills,3-Month US$ SIBOR,Singapore Overnight Rate Average,SGS Repo Overnight Rate,SF Deposit Rate,SF Borrowing Rate,RMB Overnight Rate
2001,Jan,2.0,1.75,2.63,2.75,2.75,2.75,2.81,2.88,2.7,6.38,-,2.38,-,-,-
,,3.0,1,2.69,2.75,2.75,2.75,2.81,2.88,2.7,6.3,-,2.25,-,-,-
,,4.0,1.5,2.69,2.75,2.75,2.75,2.81,2.88,2.71,5.92,-,2.25,-,-,-
,,5.0,1.5,2.75,2.75,2.75,2.75,2.75,2.81,2.71,5.75,-,2.5,-,-,-
,,6.0,1.5,2.75,2.75,2.75,2.75,2.75,2.81,-,-,-,-,-,-,-
,,8.0,1.75,2.5,2.63,2.63,2.63,2.63,2.75,2.67,5.61,-,2.05,-,-,-
,,9.0,2,2.38,2.5,2.5,2.5,2.56,2.69,2.66,5.62,-,2.12,-,-,-
,,10.0,2,2.5,2.56,2.56,2.56,2.56,2.69,2.6,5.63,-,2.09,-,-,-
,,11.0,2.75,2.63,2.63,2.63,2.63,2.63,2.69,2.62,5.67,-,2.38,-,-,-
,,12.0,3,2.63,2.63,2.63,2.63,2.63,2.69,2.59,5.67,-,3.19,-,-,-
,,13.0,2.75,2.63,2.63,2.63,2.63,2.63,2.69,-,-,-,-,-,-,-
,,15.0,2,3,2.69,2.63,2.63,2.63,2.75,2.59,5.72,-,2.64,-,-,-
,,16.0,0.25,3.13,2.81,2.75,2.75,2.75,2.75,2.59,5.74,-,2.33,-,-,-
,,17.0,1.25,2.75,2.63,2.63,2.63,2.63,2.63,2.6,5.74,-,1.91,-,-,-
,,18.0,1,2.88,2.63,2.56,2.56,2.56,2.69,2.59,5.72,-,1.72,-,-,-
,,19.0,1.5,2.75,2.5,2.56,2.56,2.56,2.63,2.55,5.61,-,2.63,-,-,-
,,20.0,2.75,2.75,2.5,2.5,2.5,2.5,2.63,-,-,-,-,-,-,-
,,22.0,2.25,2.63,2.5,2.5,2.5,2.56,2.63,2.46,5.6,-,2.41,-,-,-
,,23.0,2.75,2.63,2.5,2.5,2.5,2.56,2.63,2.45,5.58,-,2.64,-,-,-
,,26.0,2,2.63,2.5,2.5,2.5,2.56,2.63,2.4,5.58,-,2.78,-,-,-
,,27.0,1,2.5,2.5,2.5,2.5,2.56,2.63,-,-,-,-,-,-,-
,,29.0,0.75,2.5,2.5,2.5,2.5,2.56,2.63,2.46,5.56,-,2.21,-,-,-
,,30.0,1.25,2.5,2.5,2.5,2.5,2.5,2.56,2.45,5.54,-,1.91,-,-,-
,,31.0,0.75,2.63,2.5,2.5,2.5,2.5,2.56,2.45,5.45,-,2.15,-,-,-
