Effective Date,Repo Rate,% Change
2010-03-19,0.05,0.0025
2010-04-20,0.0525,0.0025
2010-07-02,0.055,0.0025
2010-07-27,0.0575,0.0025
2010-09-16,0.06,0.0025
2010-11-02,0.0625,0.0025
2011-01-25,0.065,0.0025
2011-03-17,0.0675,0.0025
2013-05-03,0.0725,0.005
2013-09-20,0.075,0.0025
2013-10-29,0.0775,0.0025
2014-01-28,0.08,0.0025
2015-01-15,0.0775,-0.0025
2015-03-04,0.075,-0.0025
2015-06-02,0.0725,-0.0025
2015-09-29,0.0675,-0.005
2016-04-05,0.065,-0.0025
2016-10-04,0.0625,-0.0025
2017-08-02,0.06,-0.0025
2018-06-06,0.0625,0.0025
2018-08-01,0.065,0.0025
2019-02-07,0.0625,-0.0025
2019-04-04,0.06,-0.0025
2019-06-06,0.0575,-0.0025
2019-08-07,0.054,-0.0035
2020-02-06,0.0515,-0.0025
2020-03-27,0.044,-0.0075
2020-05-22,0.04,-0.004
2020-08-06,0.04,0.0
2020-10-09,0.04,0.0
2022-05-01,0.044,0.004
2022-06-08,0.049,0.005
2022-08-05,0.054,0.005
2022-09-30,0.059,0.005
2022-12-07,0.0625,0.0035
2023-02-08,0.065,0.0025
2023-06-08,0.065,0.0
2024-09-18,0.065,0.0
2024-12-06,0.065,0.0
2025-02-07,0.0625,-0.0025
2025-04-09,0.06,-0.0025
2025-06-06,0.055,-0.005
2025-08-06,0.055,0.0
2025-12-05,0.0525,0.0025
