Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2025-12-26,140.78,140.3123077
2025-12-19,140.64,139.0592308
2025-12-12,140.44,136.6388462
2025-12-05,140.55,130.8334615
2025-11-28,140.57,125.8669231
2025-11-21,140.23,
2025-11-14,140.15,
2025-11-07,140.13,
2025-10-31,140.38,
2025-10-24,140.44,
2025-10-17,140.47,
2025-10-10,140.48,
2025-10-03,140.49,
2025-09-26,140.7,
2025-09-19,140.82,
2025-09-12,140.84,
2025-09-05,140.92,
2025-08-29,141.08,
2025-08-22,141.21,
2025-08-15,141.2,
2025-08-08,141.16,
2025-08-01,141.05,
2025-07-25,141.19,
2025-07-18,141.18,
2025-07-11,141.14,
2025-07-04,141.15,
2025-06-27,141.14,
2025-06-20,141.12,
2025-06-13,140.99,
2025-06-06,140.84,
2025-05-30,140.94,
2025-05-23,140.99,
2025-05-16,140.86,
2025-05-09,140.77,
2025-05-02,140.04,
2025-04-25,140.0,
2025-04-18,139.92,
2025-04-11,139.0,
2025-04-04,139.07,
2025-03-28,139.48,
2025-03-21,139.58,
2025-03-14,139.57,
2025-03-07,139.67,
2025-02-28,139.79,
2025-02-21,139.86,
2025-02-14,139.53,
2025-02-07,139.14,
2025-01-31,139.17,
2025-01-24,139.09,
2025-01-17,138.81,
2025-01-10,138.73,
2025-01-03,138.75,
2024-12-27,139.06,
2024-12-20,139.0,
2024-12-13,139.1,
2024-12-06,138.93,
2024-11-29,138.94,
2024-11-22,139.3,
2024-11-15,139.36,
2024-11-08,139.61,
2024-11-01,139.41,
2024-10-25,139.6,
2024-10-18,139.73,
2024-10-11,139.78,
2024-10-04,139.74,
2024-09-27,139.74,
2024-09-20,139.62,
2024-09-13,139.53,
2024-09-06,139.58,
2024-08-30,139.46,
2024-08-23,139.58,
2024-08-16,139.59,
2024-08-09,139.41,
2024-08-02,139.36,
2024-07-26,139.38,
2024-07-19,139.46,
2024-07-12,139.4,
2024-07-05,139.22,
2024-06-28,139.18,
2024-06-21,139.19,
2024-06-14,139.11,
2024-06-07,139.09,
2024-05-31,139.01,
2024-05-24,138.98,
2024-05-17,138.9,
2024-05-10,138.76,
2024-05-03,138.68,
2024-04-26,138.69,
2024-04-19,138.61,
2024-04-12,138.7,
2024-04-05,138.71,
2024-03-29,138.73,
2024-03-22,138.79,
2024-03-15,138.84,
2024-03-08,138.67,
2024-03-01,138.53,
2024-02-23,138.62,
2024-02-16,138.47,
2024-02-09,138.39,
2024-02-02,138.44,
2024-01-26,138.41,
2024-01-19,138.16,
2024-01-12,138.29,
2024-01-05,138.24,
2023-12-29,138.34,
2023-12-22,138.23,
2023-12-15,138.07,
2023-12-08,138.08,
2023-12-01,138.17,
2023-11-24,138.07,
2023-11-17,137.92,
2023-11-10,137.95,
2023-11-03,137.8,
2023-10-27,137.63,
2023-10-20,137.41,
2023-10-13,137.57,
2023-10-06,137.4,
2023-09-29,137.27,
2023-09-22,136.95,
2023-09-15,136.94,
2023-09-08,136.92,
2023-09-01,137.05,
2023-08-25,136.86,
2023-08-18,136.57,
2023-08-11,136.72,
2023-08-04,136.94,
2023-07-28,137.18,
2023-07-21,137.15,
2023-07-14,136.82,
2023-07-07,136.41,
2023-06-30,136.31,
2023-06-23,136.46,
2023-06-16,136.57,
2023-06-09,136.29,
2023-06-02,136.06,
2023-05-26,135.99,
2023-05-19,135.9,
2023-05-12,136.21,
2023-05-05,135.99,
2023-04-28,135.62,
2023-04-21,135.67,
2023-04-14,135.86,
2023-04-07,136.05,
2023-03-31,136.16,
2023-03-24,135.94,
2023-03-17,135.49,
2023-03-10,135.76,
2023-03-03,135.8,
2023-02-24,135.83,
2023-02-17,135.78,
2023-02-10,135.68,
2023-02-03,135.69,
2023-01-27,135.7,
2023-01-20,135.29,
2023-01-13,135.3,
2023-01-06,135.4,
2022-12-30,135.36,
2022-12-23,135.05,
2022-12-16,134.91,
2022-12-09,135.0,
2022-12-02,135.02,
2022-11-25,134.97,
2022-11-18,135.24,
2022-11-11,135.4,
2022-11-04,135.23,
2022-10-28,134.92,
2022-10-21,134.56,
2022-10-14,133.25,
2022-10-07,132.65,
2022-09-30,132.49,
2022-09-23,132.68,
2022-09-16,132.67,
2022-09-09,132.45,
2022-09-02,132.19,
2022-08-26,132.13,
2022-08-19,132.14,
2022-08-12,132.24,
2022-08-05,132.0,
2022-07-29,131.89,
2022-07-22,131.45,
2022-07-15,130.77,
2022-07-08,130.0,
2022-07-01,130.28,
2022-06-24,130.29,
2022-06-17,130.22,
2022-06-10,130.03,
2022-06-03,129.86,
2022-05-27,129.9,
2022-05-20,129.73,
2022-05-13,129.4,
2022-05-06,129.29,
2022-04-29,129.0,
2022-04-22,128.66,
2022-04-15,128.06,
2022-04-08,127.78,
2022-04-01,127.72,
2022-03-25,127.71,
2022-03-18,127.37,
2022-03-11,126.88,
2022-03-04,126.68,
2022-02-25,127.15,
2022-02-18,127.49,
2022-02-11,127.68,
2022-02-04,127.42,
2022-01-28,127.47,
2022-01-21,127.05,
2022-01-14,126.88,
2022-01-07,126.68,
2021-12-31,126.69,
2021-12-24,126.11,
2021-12-17,125.88,
2021-12-10,125.91,
2021-12-03,125.72,
2021-11-26,125.81,
2021-11-19,126.18,
2021-11-12,126.31,
2021-11-05,126.25,
2021-10-29,126.27,
2021-10-22,126.55,
2021-10-15,126.41,
2021-10-08,125.91,
2021-10-01,125.93,
2021-09-24,126.12,
2021-09-17,126.34,
2021-09-10,126.13,
2021-09-03,126.07,
2021-08-27,125.84,
2021-08-20,125.47,
2021-08-13,125.5,
2021-08-06,125.64,
2021-07-30,125.33,
2021-07-23,125.07,
2021-07-16,125.47,
2021-07-09,125.73,
2021-07-02,125.79,
2021-06-25,125.69,
2021-06-18,126.0,
2021-06-11,126.2,
2021-06-04,126.21,
2021-05-28,126.08,
2021-05-21,125.67,
2021-05-14,125.89,
2021-05-07,125.93,
2021-04-30,126.5,
2021-04-23,126.52,
2021-04-16,126.3,
2021-04-09,126.24,
2021-04-02,126.05,
2021-03-26,125.67,
2021-03-19,125.19,
2021-03-12,125.19,
2021-03-05,125.48,
2021-02-26,125.79,
2021-02-19,125.57,
2021-02-12,125.36,
2021-02-05,125.24,
2021-01-29,125.37,
2021-01-22,125.43,
2021-01-15,125.4,
2021-01-08,125.68,
2021-01-01,125.64,
2020-12-25,125.42,
2020-12-18,125.52,
2020-12-11,125.25,
2020-12-04,125.56,
2020-11-27,125.66,
2020-11-20,125.6,
2020-11-13,125.69,
2020-11-06,125.45,
2020-10-30,125.42,
2020-10-23,125.77,
2020-10-16,125.94,
2020-10-09,126.08,
2020-10-02,125.66,
2020-09-25,125.63,
2020-09-18,125.77,
2020-09-11,125.53,
2020-09-04,125.68,
2020-08-28,125.74,
2020-08-21,125.8,
2020-08-14,125.68,
2020-08-07,125.6,
2020-07-31,125.59,
2020-07-24,125.51,
2020-07-17,125.53,
2020-07-10,125.37,
2020-07-03,125.78,
2020-06-26,125.87,
2020-06-19,125.83,
2020-06-12,125.8,
2020-06-05,125.6,
2020-05-29,125.37,
2020-05-22,125.38,
2020-05-15,125.48,
2020-05-08,125.59,
2020-05-01,125.77,
2020-04-24,125.45,
2020-04-17,125.52,
2020-04-10,125.61,
2020-04-03,125.44,
2020-03-27,125.06,
2020-03-20,124.89,
2020-03-13,125.35,
2020-03-06,126.01,
2020-02-28,126.05,
2020-02-21,125.87,
2020-02-14,125.97,
2020-02-07,126.56,
2020-01-31,127.85,
2020-01-24,128.42,
2020-01-17,128.41,
2020-01-10,128.38,
2020-01-03,128.4,
2019-12-27,128.38,
2019-12-20,128.31,
2019-12-13,128.35,
2019-12-06,128.18,
2019-11-29,128.16,
2019-11-22,128.32,
2019-11-15,128.3,
2019-11-08,128.27,
2019-11-01,128.21,
2019-10-25,128.27,
2019-10-18,128.11,
2019-10-11,127.61,
2019-10-04,127.53,
2019-09-27,127.64,
2019-09-20,127.62,
2019-09-13,127.4,
2019-09-06,127.07,
2019-08-30,126.91,
2019-08-23,126.88,
2019-08-16,126.53,
2019-08-09,126.91,
2019-08-02,127.14,
2019-07-26,127.34,
2019-07-19,127.65,
2019-07-12,127.82,
2019-07-05,127.85,
2019-06-28,127.86,
